Date,SDGE,Year,Dates,Month,Day,Week_day,Season,Holiday,Non_working
2019-01-01,48485.355385040675,2019,2019-01-01,1,1,Tuesday,winter,1,non-working
2019-01-02,56532.90157281052,2019,2019-01-02,1,2,Wednesday,winter,0,working
2019-01-03,57024.67562350869,2019,2019-01-03,1,3,Thursday,winter,0,working
2019-01-04,56456.88814782031,2019,2019-01-04,1,4,Friday,winter,0,working
2019-01-05,55838.51371972455,2019,2019-01-05,1,5,Saturday,winter,0,non-working
2019-01-06,49997.0799157282,2019,2019-01-06,1,6,Sunday,winter,0,non-working
2019-01-07,53903.54916617875,2019,2019-01-07,1,7,Monday,winter,0,working
2019-01-08,53043.94868111245,2019,2019-01-08,1,8,Tuesday,winter,0,working
2019-01-09,52996.25037676555,2019,2019-01-09,1,9,Wednesday,winter,0,working
2019-01-10,52836.295124188735,2019,2019-01-10,1,10,Thursday,winter,0,working
2019-01-11,53224.9767794598,2019,2019-01-11,1,11,Friday,winter,0,working
2019-01-12,50237.536912703305,2019,2019-01-12,1,12,Saturday,winter,0,non-working
2019-01-13,50849.19570800102,2019,2019-01-13,1,13,Sunday,winter,0,non-working
2019-01-14,58086.938872924744,2019,2019-01-14,1,14,Monday,winter,0,working
2019-01-15,54869.13380336787,2019,2019-01-15,1,15,Tuesday,winter,0,working
2019-01-16,53311.300612655104,2019,2019-01-16,1,16,Wednesday,winter,0,working
2019-01-17,55926.74281093545,2019,2019-01-17,1,17,Thursday,winter,0,working
2019-01-18,51641.71493938507,2019,2019-01-18,1,18,Friday,winter,0,working
2019-01-19,47388.272764586756,2019,2019-01-19,1,19,Saturday,winter,0,non-working
2019-01-20,46727.75339557495,2019,2019-01-20,1,20,Sunday,winter,0,non-working
2019-01-21,50956.04652433541,2019,2019-01-21,1,21,Monday,winter,1,non-working
2019-01-22,53877.13959177006,2019,2019-01-22,1,22,Tuesday,winter,0,working
2019-01-23,53946.25702298498,2019,2019-01-23,1,23,Wednesday,winter,0,working
2019-01-24,53758.89097258169,2019,2019-01-24,1,24,Thursday,winter,0,working
2019-01-25,52125.8229091055,2019,2019-01-25,1,25,Friday,winter,0,working
2019-01-26,48171.08389357146,2019,2019-01-26,1,26,Saturday,winter,0,non-working
2019-01-27,46555.983793993,2019,2019-01-27,1,27,Sunday,winter,0,non-working
2019-01-28,52483.251515289485,2019,2019-01-28,1,28,Monday,winter,0,working
2019-01-29,54145.920520189306,2019,2019-01-29,1,29,Tuesday,winter,0,working
2019-01-30,51748.012384255526,2019,2019-01-30,1,30,Wednesday,winter,0,working
2019-01-31,54497.49591018869,2019,2019-01-31,1,31,Thursday,winter,0,working
2019-02-01,55065.1217530218,2019,2019-02-01,2,1,Friday,winter,0,working
2019-02-02,52659.98136303577,2019,2019-02-02,2,2,Saturday,winter,0,non-working
2019-02-03,48783.477501673726,2019,2019-02-03,2,3,Sunday,winter,0,non-working
2019-02-04,55184.86311513629,2019,2019-02-04,2,4,Monday,winter,0,working
2019-02-05,55767.04381493445,2019,2019-02-05,2,5,Tuesday,winter,0,working
2019-02-06,53940.203092782715,2019,2019-02-06,2,6,Wednesday,winter,0,working
2019-02-07,54640.47120626991,2019,2019-02-07,2,7,Thursday,winter,0,working
2019-02-08,52439.49074198906,2019,2019-02-08,2,8,Friday,winter,0,working
2019-02-09,50999.98462480452,2019,2019-02-09,2,9,Saturday,winter,0,non-working
2019-02-10,49687.95830608375,2019,2019-02-10,2,10,Sunday,winter,0,non-working
2019-02-11,53945.88887745536,2019,2019-02-11,2,11,Monday,winter,0,working
2019-02-12,54369.94848981465,2019,2019-02-12,2,12,Tuesday,winter,0,working
2019-02-13,55819.357638047586,2019,2019-02-13,2,13,Wednesday,winter,0,working
2019-02-14,57652.29097498901,2019,2019-02-14,2,14,Thursday,winter,0,working
2019-02-15,52349.00121639829,2019,2019-02-15,2,15,Friday,winter,0,working
2019-02-16,46691.26509389464,2019,2019-02-16,2,16,Saturday,winter,0,non-working
2019-02-17,47234.37740961874,2019,2019-02-17,2,17,Sunday,winter,0,non-working
2019-02-18,50678.25361806741,2019,2019-02-18,2,18,Monday,winter,1,non-working
2019-02-19,54156.85870566152,2019,2019-02-19,2,19,Tuesday,winter,0,working
2019-02-20,59010.15033135062,2019,2019-02-20,2,20,Wednesday,winter,0,working
2019-02-21,57958.37023396297,2019,2019-02-21,2,21,Thursday,winter,0,working
2019-02-22,53503.76267488358,2019,2019-02-22,2,22,Friday,winter,0,working
2019-02-23,47808.205945967326,2019,2019-02-23,2,23,Saturday,winter,0,non-working
2019-02-24,47244.01435322738,2019,2019-02-24,2,24,Sunday,winter,0,non-working
2019-02-25,50593.070187573365,2019,2019-02-25,2,25,Monday,winter,0,working
2019-02-26,51858.60534178844,2019,2019-02-26,2,26,Tuesday,winter,0,working
2019-02-27,50524.469434396626,2019,2019-02-27,2,27,Wednesday,winter,0,working
2019-02-28,49912.724180108686,2019,2019-02-28,2,28,Thursday,winter,0,working
2019-03-01,49300.193125950915,2019,2019-03-01,3,1,Friday,winter,0,working
2019-03-02,50369.773627345465,2019,2019-03-02,3,2,Saturday,winter,0,non-working
2019-03-03,46858.19133676857,2019,2019-03-03,3,3,Sunday,winter,0,non-working
2019-03-04,51077.00496663523,2019,2019-03-04,3,4,Monday,winter,0,working
2019-03-05,50843.14287852246,2019,2019-03-05,3,5,Tuesday,winter,0,working
2019-03-06,53425.43439759292,2019,2019-03-06,3,6,Wednesday,winter,0,working
2019-03-07,50093.7206980564,2019,2019-03-07,3,7,Thursday,winter,0,working
2019-03-08,49005.33209869012,2019,2019-03-08,3,8,Friday,winter,0,working
2019-03-09,47283.65997790918,2019,2019-03-09,3,9,Saturday,winter,0,non-working
2019-03-10,46267.30984243954,2019,2019-03-10,3,10,Sunday,winter,0,non-working
2019-03-11,55675.84189601953,2019,2019-03-11,3,11,Monday,winter,0,working
2019-03-12,49634.146632318734,2019,2019-03-12,3,12,Tuesday,winter,0,working
2019-03-13,48198.971007415224,2019,2019-03-13,3,13,Wednesday,winter,0,working
2019-03-14,48703.94756199028,2019,2019-03-14,3,14,Thursday,winter,0,working
2019-03-15,48866.347818240305,2019,2019-03-15,3,15,Friday,winter,0,working
2019-03-16,44609.23682847823,2019,2019-03-16,3,16,Saturday,winter,0,non-working
2019-03-17,43912.12220029173,2019,2019-03-17,3,17,Sunday,winter,0,non-working
2019-03-18,48286.85328691284,2019,2019-03-18,3,18,Monday,winter,0,working
2019-03-19,47413.793471633624,2019,2019-03-19,3,19,Tuesday,winter,0,working
2019-03-20,50522.99054456803,2019,2019-03-20,3,20,Wednesday,winter,0,working
2019-03-21,50940.617786871066,2019,2019-03-21,3,21,Thursday,winter,0,working
2019-03-22,48017.307141935176,2019,2019-03-22,3,22,Friday,winter,0,working
2019-03-23,44591.729532845595,2019,2019-03-23,3,23,Saturday,winter,0,non-working
2019-03-24,42690.20054613715,2019,2019-03-24,3,24,Sunday,winter,0,non-working
2019-03-25,47711.598109954866,2019,2019-03-25,3,25,Monday,winter,0,working
2019-03-26,49312.733062378145,2019,2019-03-26,3,26,Tuesday,winter,0,working
2019-03-27,49187.05713680482,2019,2019-03-27,3,27,Wednesday,winter,0,working
2019-03-28,47535.71590484404,2019,2019-03-28,3,28,Thursday,winter,0,working
2019-03-29,47892.62491237548,2019,2019-03-29,3,29,Friday,winter,0,working
2019-03-30,44248.22393579045,2019,2019-03-30,3,30,Saturday,winter,0,non-working
2019-03-31,44293.72026976125,2019,2019-03-31,3,31,Sunday,winter,0,non-working
2019-04-01,51038.21507551877,2019,2019-04-01,4,1,Monday,winter,0,working
2019-04-02,46961.0926252718,2019,2019-04-02,4,2,Tuesday,winter,0,working
2019-04-03,47943.59651744476,2019,2019-04-03,4,3,Wednesday,winter,0,working
2019-04-04,48211.68466561968,2019,2019-04-04,4,4,Thursday,winter,0,working
2019-04-05,48131.15897878643,2019,2019-04-05,4,5,Friday,winter,0,working
2019-04-06,43879.37408828173,2019,2019-04-06,4,6,Saturday,winter,0,non-working
