Date,SDGE,Year,Month,Day,Week_day,Season,Holiday,Non_working,DailyCoolingDegreeDays,DailyHeatingDegreeDays,HourlyDryBulbTemperature
2019-01-01 00:00:00,48485.35539,2019,1,1,Tuesday,winter,1,non-working,0,12,52.34482759
2019-01-02 00:00:00,56532.90157,2019,1,2,Wednesday,winter,0,working,0,13,52.06896552
2019-01-03 00:00:00,57024.67562,2019,1,3,Thursday,winter,0,working,0,12,53.33333333
2019-01-04 00:00:00,56456.88815,2019,1,4,Friday,winter,0,working,0,12,53.55172414
2019-01-05 00:00:00,55838.51372,2019,1,5,Saturday,winter,0,non-working,0,9,55.79310345
2019-01-06 00:00:00,49997.07992,2019,1,6,Sunday,winter,0,non-working,0,7,56.92105263
2019-01-07 00:00:00,53903.54917,2019,1,7,Monday,winter,0,working,0,7,57.1
2019-01-08 00:00:00,53043.94868,2019,1,8,Tuesday,winter,0,working,0,5,59.5483871
2019-01-09 00:00:00,52996.25038,2019,1,9,Wednesday,winter,0,working,0,7,58.13157895
2019-01-10 00:00:00,52836.29512,2019,1,10,Thursday,winter,0,working,0,6,58.48780488
2019-01-11 00:00:00,53224.97678,2019,1,11,Friday,winter,0,working,0,8,55.90909091
2019-01-12 00:00:00,50237.53691,2019,1,12,Saturday,winter,0,non-working,0,7,57.33333333
2019-01-13 00:00:00,50849.19571,2019,1,13,Sunday,winter,0,non-working,0,9,56.24137931
2019-01-14 00:00:00,58086.93887,2019,1,14,Monday,winter,0,working,0,7,57.28571429
2019-01-15 00:00:00,54869.1338,2019,1,15,Tuesday,winter,0,working,0,5,59.35897436
2019-01-16 00:00:00,53311.30061,2019,1,16,Wednesday,winter,0,working,0,2,62.31818182
2019-01-17 00:00:00,55926.74281,2019,1,17,Thursday,winter,0,working,0,3,61.2037037
2019-01-18 00:00:00,51641.71494,2019,1,18,Friday,winter,0,working,0,5,60.43902439
2019-01-19 00:00:00,47388.27276,2019,1,19,Saturday,winter,0,non-working,0,3,61.55172414
2019-01-20 00:00:00,46727.7534,2019,1,20,Sunday,winter,0,non-working,0,3,61.26666667
2019-01-21 00:00:00,50956.04652,2019,1,21,Monday,winter,1,non-working,0,6,59.58064516
2019-01-22 00:00:00,53877.13959,2019,1,22,Tuesday,winter,0,working,0,7,56.86206897
2019-01-23 00:00:00,53946.25702,2019,1,23,Wednesday,winter,0,working,0,8,56.65517241
2019-01-24 00:00:00,53758.89097,2019,1,24,Thursday,winter,0,working,0,5,59.5862069
2019-01-25 00:00:00,52125.82291,2019,1,25,Friday,winter,0,working,0,3,61.24137931
2019-01-26 00:00:00,48171.08389,2019,1,26,Saturday,winter,0,non-working,0,1,62.20689655
2019-01-27 00:00:00,46555.98379,2019,1,27,Sunday,winter,0,non-working,0,1,61.5862069
2019-01-28 00:00:00,52483.25152,2019,1,28,Monday,winter,0,working,0,2,60.66666667
2019-01-29 00:00:00,54145.92052,2019,1,29,Tuesday,winter,0,working,0,4,58.36842105
2019-01-30 00:00:00,51748.01238,2019,1,30,Wednesday,winter,0,working,0,4,60.25
2019-01-31 00:00:00,54497.49591,2019,1,31,Thursday,winter,0,working,0,6.019230769,58.11538462
2019-02-01 00:00:00,55065.12175,2019,2,1,Friday,winter,0,working,0,7,58
2019-02-02 00:00:00,52659.98136,2019,2,2,Saturday,winter,0,non-working,0,4,59.30769231
2019-02-03 00:00:00,48783.4775,2019,2,3,Sunday,winter,0,non-working,0,7,57.38888889
2019-02-04 00:00:00,55184.86312,2019,2,4,Monday,winter,0,working,0,7,57.28571429
2019-02-05 00:00:00,55767.04381,2019,2,5,Tuesday,winter,0,working,0,9,55.19444444
2019-02-06 00:00:00,53940.20309,2019,2,6,Wednesday,winter,0,working,0,12,53.37931034
2019-02-07 00:00:00,54640.47121,2019,2,7,Thursday,winter,0,working,0,11,53.79310345
2019-02-08 00:00:00,52439.49074,2019,2,8,Friday,winter,0,working,0,11,54.03448276
2019-02-09 00:00:00,50999.98462,2019,2,9,Saturday,winter,0,non-working,0,9,54.74193548
2019-02-10 00:00:00,49687.95831,2019,2,10,Sunday,winter,0,non-working,0,9,54.83870968
2019-02-11 00:00:00,53945.88888,2019,2,11,Monday,winter,0,working,0,11,53.65517241
2019-02-12 00:00:00,54369.94849,2019,2,12,Tuesday,winter,0,working,0,7,57.55172414
2019-02-13 00:00:00,55819.35764,2019,2,13,Wednesday,winter,0,working,0,5,57.18918919
2019-02-14 00:00:00,57652.29097,2019,2,14,Thursday,winter,0,working,0,5,60.96078431
2019-02-15 00:00:00,52349.00122,2019,2,15,Friday,winter,0,working,0,7,57
2019-02-16 00:00:00,46691.26509,2019,2,16,Saturday,winter,0,non-working,0,8,56.86206897
2019-02-17 00:00:00,47234.37741,2019,2,17,Sunday,winter,0,non-working,0,9,55.45454545
2019-02-18 00:00:00,50678.25362,2019,2,18,Monday,winter,1,non-working,0,12,52.51724138
